analysis;distributed-analysis;eu-gdpr;insurance-data;contact;provisions-display;provisions-code
Verteilte, EU-DSGVO konforme Analyse, mit Krankenkassendaten, und mit Rekontaktierung;yes;yes;yes;yes;"MDAT wissenschaftlich nutzen EU DSGVO NIVEAU |
MDAT retrospektiv wissenschaftlich nutzen EU DSGVO NIVEAU |
Krankenkassendaten retrospektiv uebertragen, speichern, nutzen |
Rekontaktierung Ergebnisse erheblicher Bedeutung |
Rekontaktierung Ergänzungen |
Rekontaktierung Verknüpfung Datenbanken |
Rekontaktierung weitere Erhebung |
Rekontaktierung weitere Studien |
Rekontaktierung Zusatzbefund |
Rekontaktierung Zusatzbefund";"2.16.840.1.113883.3.1937.777.24.5.3.8 |
2.16.840.1.113883.3.1937.777.24.5.3.46 |
2.16.840.1.113883.3.1937.777.24.5.3.10 |
2.16.840.1.113883.3.1937.777.24.5.3.37 |
2.16.840.1.113883.3.1937.777.24.5.3.26 |
2.16.840.1.113883.3.1937.777.24.5.3.27 |
2.16.840.1.113883.3.1937.777.24.5.3.28 |
2.16.840.1.113883.3.1937.777.24.5.3.29 |
2.16.840.1.113883.3.1937.777.24.5.3.31 |
2.16.840.1.113883.3.1937.777.24.5.3.30"
Verteilte, EU-DSGVO konforme Analyse, mit Krankenkassendaten, und ohne Rekontaktierung;yes;yes;yes;no;"MDAT wissenschaftlich nutzen EU DSGVO NIVEAU |
MDAT retrospektiv wissenschaftlich nutzen EU DSGVO NIVEAU |
Krankenkassendaten retrospektiv uebertragen, speichern, nutzen";"2.16.840.1.113883.3.1937.777.24.5.3.8 |
2.16.840.1.113883.3.1937.777.24.5.3.46 |
2.16.840.1.113883.3.1937.777.24.5.3.10"
Verteilte, EU-DSGVO konforme Analyse, ohne Krankenassendaten, und mit Rekontaktierung;yes;yes;no;yes;"MDAT wissenschaftlich nutzen EU DSGVO NIVEAU |
MDAT retrospektiv wissenschaftlich nutzen EU DSGVO NIVEAU |
Rekontaktierung Ergebnisse erheblicher Bedeutung |
Rekontaktierung Ergänzungen |
Rekontaktierung Verknüpfung Datenbanken |
Rekontaktierung weitere Erhebung |
Rekontaktierung weitere Studien |
Rekontaktierung Zusatzbefund |
Rekontaktierung Zusatzbefund";"2.16.840.1.113883.3.1937.777.24.5.3.8 |
2.16.840.1.113883.3.1937.777.24.5.3.46 |
2.16.840.1.113883.3.1937.777.24.5.3.37 |
2.16.840.1.113883.3.1937.777.24.5.3.26 |
2.16.840.1.113883.3.1937.777.24.5.3.27 |
2.16.840.1.113883.3.1937.777.24.5.3.28 |
2.16.840.1.113883.3.1937.777.24.5.3.29 |
2.16.840.1.113883.3.1937.777.24.5.3.31 |
2.16.840.1.113883.3.1937.777.24.5.3.30"
Verteilte, EU-DSGVO konforme Analyse, ohne Krankenassendaten, und ohne Rekontaktierung;yes;yes;no;no;"MDAT wissenschaftlich nutzen EU DSGVO NIVEAU |
MDAT retrospektiv wissenschaftlich nutzen EU DSGVO NIVEAU";"2.16.840.1.113883.3.1937.777.24.5.3.8 |
2.16.840.1.113883.3.1937.777.24.5.3.46"
Verteilte, nicht EU-DSGVO konforme Analyse, mit Krankenkassendaten, und mit Rekontaktierung;yes;no;yes;yes;"MDAT bereitstellen non EU DSGVO NIVEAU |
Krankenkassendaten retrospektiv uebertragen, speichern, nutzen |
Rekontaktierung Ergebnisse erheblicher Bedeutung |
Rekontaktierung Ergänzungen |
Rekontaktierung Verknüpfung Datenbanken |
Rekontaktierung weitere Erhebung |
Rekontaktierung weitere Studien |
Rekontaktierung Zusatzbefund |
Rekontaktierung Zusatzbefund";"2.16.840.1.113883.3.1937.777.24.5.3.49 |
2.16.840.1.113883.3.1937.777.24.5.3.10 |
2.16.840.1.113883.3.1937.777.24.5.3.37 |
2.16.840.1.113883.3.1937.777.24.5.3.26 |
2.16.840.1.113883.3.1937.777.24.5.3.27 |
2.16.840.1.113883.3.1937.777.24.5.3.28 |
2.16.840.1.113883.3.1937.777.24.5.3.29 |
2.16.840.1.113883.3.1937.777.24.5.3.31 |
2.16.840.1.113883.3.1937.777.24.5.3.30"
Verteilte, nicht EU-DSGVO konforme Analyse, mit Krankenkassendaten, und ohne Rekontaktierung;yes;no;yes;no;"MDAT bereitstellen non EU DSGVO NIVEAU |
Krankenkassendaten retrospektiv uebertragen, speichern, nutzen";"2.16.840.1.113883.3.1937.777.24.5.3.49 |
2.16.840.1.113883.3.1937.777.24.5.3.10"
Verteilte, nicht EU-DSGVO konforme Analyse, ohne Krankenassendaten, und mit Rekontaktierung;yes;no;no;yes;"MDAT bereitstellen non EU DSGVO NIVEAU |
Rekontaktierung Ergebnisse erheblicher Bedeutung |
Rekontaktierung Ergänzungen |
Rekontaktierung Verknüpfung Datenbanken |
Rekontaktierung weitere Erhebung |
Rekontaktierung weitere Studien |
Rekontaktierung Zusatzbefund |
Rekontaktierung Zusatzbefund";"2.16.840.1.113883.3.1937.777.24.5.3.49 |
2.16.840.1.113883.3.1937.777.24.5.3.37 |
2.16.840.1.113883.3.1937.777.24.5.3.26 |
2.16.840.1.113883.3.1937.777.24.5.3.27 |
2.16.840.1.113883.3.1937.777.24.5.3.28 |
2.16.840.1.113883.3.1937.777.24.5.3.29 |
2.16.840.1.113883.3.1937.777.24.5.3.31 |
2.16.840.1.113883.3.1937.777.24.5.3.30"
Verteilte, nicht EU-DSGVO konforme Analyse, ohne Krankenassendaten, und ohne Rekontaktierung;yes;no;no;no;MDAT bereitstellen non EU DSGVO NIVEAU;2.16.840.1.113883.3.1937.777.24.5.3.49
Zentrale, EU-DSGVO konforme Analyse, mit Krankenkassendaten, und mit Rekontaktierung;no;yes;yes;yes;"MDAT zusammenfuehren Dritte |
MDAT retrospektiv zusammenfuehren Dritte |
MDAT wissenschaftlich nutzen EU DSGVO NIVEAU |
MDAT retrospektiv wissenschaftlich nutzen EU DSGVO NIVEAU |
Krankenkassendaten retrospektiv uebertragen, speichern, nutzen |
Rekontaktierung Ergebnisse erheblicher Bedeutung |
Rekontaktierung Ergänzungen |
Rekontaktierung Verknüpfung Datenbanken |
Rekontaktierung weitere Erhebung |
Rekontaktierung weitere Studien |
Rekontaktierung Zusatzbefund |
Rekontaktierung Zusatzbefund";"2.16.840.1.113883.3.1937.777.24.5.3.9 |
2.16.840.1.113883.3.1937.777.24.5.3.47 |
2.16.840.1.113883.3.1937.777.24.5.3.8 |
2.16.840.1.113883.3.1937.777.24.5.3.46 |
2.16.840.1.113883.3.1937.777.24.5.3.10 |
2.16.840.1.113883.3.1937.777.24.5.3.37 |
2.16.840.1.113883.3.1937.777.24.5.3.26 |
2.16.840.1.113883.3.1937.777.24.5.3.27 |
2.16.840.1.113883.3.1937.777.24.5.3.28 |
2.16.840.1.113883.3.1937.777.24.5.3.29 |
2.16.840.1.113883.3.1937.777.24.5.3.31 |
2.16.840.1.113883.3.1937.777.24.5.3.30"
Zentrale, EU-DSGVO konforme Analyse, mit Krankenkassendaten, und ohne Rekontaktierung;no;yes;yes;no;"MDAT zusammenfuehren Dritte |
MDAT retrospektiv zusammenfuehren Dritte |
MDAT wissenschaftlich nutzen EU DSGVO NIVEAU |
MDAT retrospektiv wissenschaftlich nutzen EU DSGVO NIVEAU |
Krankenkassendaten retrospektiv uebertragen, speichern, nutzen";"2.16.840.1.113883.3.1937.777.24.5.3.9 |
2.16.840.1.113883.3.1937.777.24.5.3.47 |
2.16.840.1.113883.3.1937.777.24.5.3.8 |
2.16.840.1.113883.3.1937.777.24.5.3.46 |
2.16.840.1.113883.3.1937.777.24.5.3.10"
Zentrale, EU-DSGVO konforme Analyse, ohne Krankenassendaten, und mit Rekontaktierung;no;yes;no;yes;"MDAT zusammenfuehren Dritte |
MDAT retrospektiv zusammenfuehren Dritte |
MDAT wissenschaftlich nutzen EU DSGVO NIVEAU |
MDAT retrospektiv wissenschaftlich nutzen EU DSGVO NIVEAU |
Rekontaktierung Ergebnisse erheblicher Bedeutung |
Rekontaktierung Ergänzungen |
Rekontaktierung Verknüpfung Datenbanken |
Rekontaktierung weitere Erhebung |
Rekontaktierung weitere Studien |
Rekontaktierung Zusatzbefund |
Rekontaktierung Zusatzbefund";"2.16.840.1.113883.3.1937.777.24.5.3.9 |
2.16.840.1.113883.3.1937.777.24.5.3.47 |
2.16.840.1.113883.3.1937.777.24.5.3.8 |
2.16.840.1.113883.3.1937.777.24.5.3.46 |
2.16.840.1.113883.3.1937.777.24.5.3.37 |
2.16.840.1.113883.3.1937.777.24.5.3.26 |
2.16.840.1.113883.3.1937.777.24.5.3.27 |
2.16.840.1.113883.3.1937.777.24.5.3.28 |
2.16.840.1.113883.3.1937.777.24.5.3.29 |
2.16.840.1.113883.3.1937.777.24.5.3.31 |
2.16.840.1.113883.3.1937.777.24.5.3.30"
Zentrale, EU-DSGVO konforme Analyse, ohne Krankenassendaten, und ohne Rekontaktierung;no;yes;no;no;"MDAT zusammenfuehren Dritte |
MDAT retrospektiv zusammenfuehren Dritte |
MDAT wissenschaftlich nutzen EU DSGVO NIVEAU |
MDAT retrospektiv wissenschaftlich nutzen EU DSGVO NIVEAU";"2.16.840.1.113883.3.1937.777.24.5.3.9 |
2.16.840.1.113883.3.1937.777.24.5.3.47 |
2.16.840.1.113883.3.1937.777.24.5.3.8 |
2.16.840.1.113883.3.1937.777.24.5.3.46"
Zentrale, nicht EU-DSGVO konforme Analyse, mit Krankenkassendaten, und mit Rekontaktierung;no;no;yes;yes;"MDAT zusammenfuehren Dritte |
MDAT retrospektiv zusammenfuehren Dritte |
MDAT bereitstellen non EU DSGVO NIVEAU |
Krankenkassendaten retrospektiv uebertragen, speichern, nutzen |
Rekontaktierung Ergebnisse erheblicher Bedeutung |
Rekontaktierung Ergänzungen |
Rekontaktierung Verknüpfung Datenbanken |
Rekontaktierung weitere Erhebung |
Rekontaktierung weitere Studien |
Rekontaktierung Zusatzbefund |
Rekontaktierung Zusatzbefund";"2.16.840.1.113883.3.1937.777.24.5.3.9 |
2.16.840.1.113883.3.1937.777.24.5.3.47 |
2.16.840.1.113883.3.1937.777.24.5.3.49 |
2.16.840.1.113883.3.1937.777.24.5.3.10 |
2.16.840.1.113883.3.1937.777.24.5.3.37 |
2.16.840.1.113883.3.1937.777.24.5.3.26 |
2.16.840.1.113883.3.1937.777.24.5.3.27 |
2.16.840.1.113883.3.1937.777.24.5.3.28 |
2.16.840.1.113883.3.1937.777.24.5.3.29 |
2.16.840.1.113883.3.1937.777.24.5.3.31 |
2.16.840.1.113883.3.1937.777.24.5.3.30"
Zentrale, nicht EU-DSGVO konforme Analyse, mit Krankenkassendaten, und ohne Rekontaktierung;no;no;yes;no;"MDAT zusammenfuehren Dritte |
MDAT retrospektiv zusammenfuehren Dritte |
MDAT bereitstellen non EU DSGVO NIVEAU |
Krankenkassendaten retrospektiv uebertragen, speichern, nutzen";"2.16.840.1.113883.3.1937.777.24.5.3.9 |
2.16.840.1.113883.3.1937.777.24.5.3.47 |
2.16.840.1.113883.3.1937.777.24.5.3.49 |
2.16.840.1.113883.3.1937.777.24.5.3.10"
Zentrale, nicht EU-DSGVO konforme Analyse, ohne Krankenassendaten, und mit Rekontaktierung;no;no;no;yes;"MDAT zusammenfuehren Dritte |
MDAT retrospektiv zusammenfuehren Dritte |
MDAT bereitstellen non EU DSGVO NIVEAU |
Rekontaktierung Ergebnisse erheblicher Bedeutung |
Rekontaktierung Ergänzungen |
Rekontaktierung Verknüpfung Datenbanken |
Rekontaktierung weitere Erhebung |
Rekontaktierung weitere Studien |
Rekontaktierung Zusatzbefund |
Rekontaktierung Zusatzbefund";"2.16.840.1.113883.3.1937.777.24.5.3.9 |
2.16.840.1.113883.3.1937.777.24.5.3.47 |
2.16.840.1.113883.3.1937.777.24.5.3.49 |
2.16.840.1.113883.3.1937.777.24.5.3.37 |
2.16.840.1.113883.3.1937.777.24.5.3.26 |
2.16.840.1.113883.3.1937.777.24.5.3.27 |
2.16.840.1.113883.3.1937.777.24.5.3.28 |
2.16.840.1.113883.3.1937.777.24.5.3.29 |
2.16.840.1.113883.3.1937.777.24.5.3.31 |
2.16.840.1.113883.3.1937.777.24.5.3.30"
Zentrale, nicht EU-DSGVO konforme Analyse, ohne Krankenassendaten, und ohne Rekontaktierung;no;no;no;no;"MDAT zusammenfuehren Dritte |
MDAT retrospektiv zusammenfuehren Dritte |
MDAT bereitstellen non EU DSGVO NIVEAU";"2.16.840.1.113883.3.1937.777.24.5.3.9 |
2.16.840.1.113883.3.1937.777.24.5.3.47 |
2.16.840.1.113883.3.1937.777.24.5.3.49"
